Source;Target;Weight;SE
BalcDoor;BalcDoor;0.3117284;0.021933133
Bedroom;BalcDoor;0.02699896;0.003744082
BedroomWin;BalcDoor;0.04659091;0.007276278
FlatDoor;BalcDoor;0.03039074;0.006631803
Fridge;BalcDoor;0.0383693;0.009592326
Kitchen;BalcDoor;0.02748092;0.006477314
LivingRoom;BalcDoor;0.36687117;0.021216707
BalcDoor;Bedroom;0.3302469;0.02257521
Bedroom;Bedroom;0.3099688;0.01268618
BedroomWin;Bedroom;0.2977273;0.01839365
FlatDoor;Bedroom;0.3502171;0.02251281
Fridge;Bedroom;0.3477218;0.02887673
Kitchen;Bedroom;0.3557252;0.02330433
LivingRoom;Bedroom;0.2858896;0.01872925
BalcDoor;BedroomWin;0.05709877;0.009386979
Bedroom;BedroomWin;0.22897196;0.010903427
BedroomWin;BedroomWin;0.23636364;0.016388869
FlatDoor;BedroomWin;0.10709117;0.012449096
Fridge;BedroomWin;0.08393285;0.014187242
Kitchen;BedroomWin;0.08091603;0.011114672
LivingRoom;BedroomWin;0.0392638;0.006940925
BalcDoor;FlatDoor;0.0632716;0.009881365
Bedroom;FlatDoor;0.13136033;0.008258553
BedroomWin;FlatDoor;0.13863636;0.012551547
FlatDoor;FlatDoor;0.19536903;0.016814689
Fridge;FlatDoor;0.06954436;0.012914064
Kitchen;FlatDoor;0.09770992;0.01221374
LivingRoom;FlatDoor;0.05644172;0.008321877
BalcDoor;Fridge;0.010802469;0.00408295
Bedroom;Fridge;0.018691589;0.003115265
BedroomWin;Fridge;0.023863636;0.005207472
FlatDoor;Fridge;0.02170767;0.005604896
Fridge;Fridge;0.326139089;0.027966196
Kitchen;Fridge;0.296183206;0.021264715
LivingRoom;Fridge;0.009815951;0.003470463
BalcDoor;Kitchen;0.0787037;0.011020723
Bedroom;Kitchen;0.15316719;0.008917738
BedroomWin;Kitchen;0.12045455;0.01169958
FlatDoor;Kitchen;0.12590449;0.013498378
Fridge;Kitchen;0.05035971;0.01098939
Kitchen;Kitchen;0.02290076;0.005912952
LivingRoom;Kitchen;0.09815951;0.010974567
BalcDoor;LivingRoom;0.14814815;0.015120307
Bedroom;LivingRoom;0.13084112;0.008242216
BedroomWin;LivingRoom;0.13636364;0.01244824
FlatDoor;LivingRoom;0.16931983;0.015653623
Fridge;LivingRoom;0.08393285;0.014187242
Kitchen;LivingRoom;0.11908397;0.013483604
LivingRoom;LivingRoom;0.14355828;0.013271968
